date,product,units_sold,revenue,product_cost,operating_cost,marketing_cost
2026-01-01,Product A,100,50000,20000,8000,5000
2026-01-02,Product B,80,40000,18000,7000,4000
2026-01-03,Product A,120,60000,24000,8000,5000
2026-01-04,Product C,60,30000,15000,6000,3000
2026-01-05,Product B,90,45000,20000,7000,4000
2026-01-06,Product A,110,55000,22000,8000,5000
2026-01-07,Product C,50,25000,13000,6000,3000
2026-01-08,Product B,85,42500,19000,7000,4000
2026-01-09,Product A,115,57500,23000,8000,5000
2026-01-10,Product C,55,27500,14000,6000,3000
2026-01-11,Product B,95,47500,21000,7000,4000
2026-01-12,Product A,105,52500,21000,8000,5000
2026-01-13,Product C,65,32500,16000,6000,3000
2026-01-14,Product B,88,44000,19500,7000,4000
2026-01-15,Product A,40,20000,17000,12000,9000
